漢字,羅馬字,詞性/解說
人緣,lâng-iân,[名詞] 與人相處時，其相貌、個性、舉止受人歡迎的狀況。
入學,ji̍p-o̍h/li̍p-o̍h,[動詞] 開始進入學校學習、求學。
入選,ji̍p-soán/li̍p-soán,[動詞] 中選。被選上、被選入。
了錢,liáu-chîⁿ,"[動詞] 賠錢、虧本。
[動詞] 白費錢財。"
人頭,lâng-thâu,"[名詞] 人的頭部。
[名詞] 人數。
[名詞] 為了逃避法律責任所設置的負責人。"
力頭,la̍t-thâu,[名詞] 力氣、力道。
入殮,ji̍p-liām/li̍p-liām,[動詞] 將亡者的遺體放入棺木中。
入聲,ji̍p-siaⁿ/li̍p-siaⁿ,[名詞] 漢語的調類之一，指以塞音為韻尾的促音節，現今華語音中已無入聲，但是在閩南語和客語中仍有保留。
刁難,thiau-lân,[動詞] 故意為難。
人權,jîn-khoân/lîn-khoân,[名詞] 人生來就有的權利或是指人民在法律上所享有的權利，包括自由、人身安全、工作、受教育、集會結社、宗教信仰、財產等一切的人身權及民主權利。
丈,tn̄g,[量詞] 計算長度的單位。臺制十尺等於一丈，公制十公尺等一公丈。
三,sam,[數詞] 數字。
三,saⁿ,[數詞] 數字。
上,chiūⁿ,"[動詞] 登上、爬上。
[動詞] 把東西端上去。"
上,chhiūⁿ,"[動詞] 向上提吊。
[動詞] 慢慢長出來。"
上,siōng,"[方位詞] 指空間位置「下」的相反。
[副詞] 極致地、最……地，有些地區音變為thōng。"
下,ē,"[方位詞] 指空間位置「上」的相反。
[量詞] 計算短暫動作的單位。"
下,hā,"[動詞] 結束一個時程的工作。
[動詞] 宣布、公布。
[動詞] 往底下走。
[形容詞] 形容程序較為後面的，或是位階較為低等的。"
下,hē,"[動詞] 放置、加進去。
[動詞] 許願。"
低,kē,[形容詞] 低、不高的。可用來形容位置、聲音、程度等等。
个,ê,[量詞] 個。計算單獨的人、物的單位。
丸,oân,"[名詞] 又小又圓的物體。
[量詞] 計算小而圓物體的單位。"
久,kú,"[形容詞] 指時間的長久、長遠。
[名詞] 表示一段經過的時間。"
么,io,[數詞] 最小的數字，「一」的另一種稱呼。
乞,khit,[動詞] 向別人求討東西。
也,iā,[副詞] 亦。表示相同關係。
亡,bông,"[動詞] 死、消失、滅絕。
[形容詞] 過世的、死去的。
[名詞] 過世的人、死去的人。
[動詞] 逃跑。"
凡,hoân,"[形容詞] 平常、平庸、普通的。
[形容詞] 概括、全部。"
凡,hoān,[名詞] 人世間、塵俗。
千,chhian,"[數詞] 十個百為千。
[形容詞] 表示很多。"
千,chheng,[數詞] 十的百倍，十個百為千。
叉,chhe,"[名詞] 分支、分歧。
[動詞] 掐。
[名詞] 用來表示錯誤或作廢的符號。
[動詞] 用粗暴的話去頂撞別人。"
口,kháu,"[名詞] 指人的嘴巴。
[名詞] 出入的要道。
[量詞] 計算器物的單位。
[量詞] 計算人數的單位。特指家庭的人口。
[量詞] 計算戶口的單位。"
土,thó͘,"[名詞] 土壤。亦為五行之一。
[形容詞] 形容人的個性粗曠率直。
[形容詞] 本地的、具有地方性的。"
士,sū,[名詞] 學位名稱或泛指讀書人。
大,ta,[] 名詞前綴。用於女子對丈夫之父母的稱呼。
大,tāi,[形容詞] 指在體積、面積、深度、數量、強度等方面超過一般，或超過所比較的對象。
大,tōa,"[形容詞] 在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。
[副詞] 時間上更前或更後，有強調的意味。
[形容詞] 最年長的、排行第一的。
[動詞] 變大、長大。"
女,lí/lú,[名詞] 女性、女子。
女,lú,[名詞] 女性、女子。
子,chí,"[名詞] 體積小的東西。
[名詞] 植物的果實、種子或動物的卵。"
子,chú,"[名詞] 兒女。
[名詞] 對賢者的美稱。
[名詞] 對人的稱呼。
[名詞] 晚輩。
[名詞] 門生、信徒。
[名詞] 地支的第一位。
[名詞] 時辰名。用十二地支命名。
[] 名詞後綴。"
子,jí/lí,"[名詞] 指小而圓形或橢圓形的東西。
[量詞] 計算香蕉的單位，等同於「根」。"
寸,chhùn,"[量詞] 計算長度的單位。一寸約三公分。
[形容詞] 短小、微小。"
小,siáu,"[形容詞] 細微，是「大」的相反。
[名詞] 謙稱自己的子女。"
