漢字,羅馬字,詞性/解說
燖,tīm,[動詞] 將食物放入密閉的烹具裡蒸煮。
燙,thǹg,"[動詞] 一種烹調方法。將材料在滾水中快煮後撈出。
[動詞] 被高熱的東西或火所傷。"
燜,būn,[動詞] 一種烹飪的方法，將食物置於容器中，放水在外鍋，加封蓋後以慢火悶煮。
甌,au,"[名詞] 杯子。
[量詞] 計算杯數的單位。"
甍,bòng,[動詞] 揍、擊。以拳或物用力擊打。
燈心,teng-sim,[名詞] 油燈或酒精燈等用來點火的部分。通常用紗、線或燈心草的莖做成。
燒水,sio-chúi,[名詞] 熱水。溫度高的水。
燃火,hiâⁿ-hóe/hiâⁿ-hé,[動詞] 起火、生火。
燈火,teng-hóe/teng-hé,"[名詞] 燈光。
[名詞] 指油燈。"
燕仔,ìⁿ-á,[名詞] 燕子。
甌仔,au-á,[名詞] 杯子、茶杯。
獨立,to̍k-li̍p,[形容詞] 不倚靠他人的協助而能夠自立。
燒肉,sio-bah,[名詞] 先油炸再以湯汁燒煮而成的肉。
獨身,to̍k-sin,[形容詞] 單身。還沒結婚的人。
燒金,sio-kim,[動詞] 燒紙錢。祭拜之後將供奉的紙錢拿去焚燒，獻給鬼神。一般分燒金紙與燒銀紙；前者祭拜神明，稱為燒金；後者獻給鬼魂，稱燒銀紙。
燒香,sio-hiuⁿ,[動詞] 燃香禮拜神佛。是佛教、道教以及民間傳統信仰的祭祀禮儀。
燈座,teng-chō,[名詞] 檯燈或立燈的底座。
燃柴,hiâⁿ-chhâ,[動詞] 以柴為燃料燒火。
燒烙,sio-lō,[形容詞] 溫暖、暖和。
燒酒,sio-chiú,[名詞] 酒。
燒酒螺,sio-chiú-lê,[名詞] 軟體動物。一種體型很小的螺。經常以醬油、酒、辣椒等材料醃製，在臺灣的許多觀光景點常有攤販販售，因大量捕撈，臺灣原產的燒酒螺已日漸稀少。
燒酒雞,sio-chiú-ke/sio-chiú-koe,[名詞] 將雞肉放入加有藥膳的米酒中燉煮而成，能促進新陳代謝、消化吸收及血液循環，是冬天活血暖身、舒筋養骨、溫補虛寒的最佳食補。
燈猜,teng-chhai,[名詞] 燈謎。是元宵節或中秋節時的傳統活動之一，通常將謎語黏貼在花燈、牆壁上或是掛在繩子上供人猜射。
燒著,sio-tio̍h,[動詞] 燙到。被火燙到。語氣完結時唸作sio--tio̍h。
獨裁,to̍k-chhâi,"[形容詞] 凡事由一人作決定，其他人無法反對。
[名詞] 政體的一種。政治上的決定，取決於一人或極少數人的專制統治。"
燜飯,būn-pn̄g,[動詞] 以慢火來燜將煮熟的飯。
燈塔,teng-thah,[名詞] 設置在海岸港口或者小島上的高塔，夜晚能發出定時明滅的強烈燈光，指引船隻航行方向，避免海難事件的發生。
燒滾滾,sio-kún-kún,[形容詞] 熱騰騰。
燕窩,iàn-o,[名詞] 金絲燕或同屬雨燕科的燕類以唾液吐出來築的窩巢。含有豐富的膠質、蛋白質、糖等，在中醫上是上等的補品，價格昂貴。
燒熱,sio-joa̍h/sio-loa̍h,"[形容詞] 溫暖。
[形容詞] 極為炎熱的。
[形容詞] 指發燒。
[形容詞] 因嫉妒或焦急而使得心裡有不舒服的感覺。
[形容詞] 因高溫灼燒、鞭打或傷口發炎時所產生的灼熱感。"
獨獨,to̍k-to̍k,[副詞] 僅僅、只有。
燖鍋,tīm-oe/tīm-e,[名詞] 燉鍋。
瘸,khôe/khê,[形容詞] 指手腳有問題，行動不便的樣子。
瞞,môa,[動詞] 騙。
磚,chng,[名詞] 以土經過窯燒而製成的建築材料。也指形狀相似的東西。
磨,bō,"[名詞] 石磨。
[動詞] 用石磨磨物。"
磨,bôa,"[動詞] 用磨石等磨東西使其鋒利、光滑。
[動詞] 研磨。
[動詞] 操勞、磨練。
[動詞] 加水磨擦使溶出。"
積,chek,"[動詞] 累積、堆積。
[動詞] 儲蓄、積存。
[動詞] 淤積、停滯不消。
[動詞] 食物在腸胃中不消化。"
穎,íⁿ,[名詞] 幼芽。
瘸手,khôe-chhiú/khê-chhiú,[形容詞] 手部有毛病不靈活，也用來罵人行動笨拙。
瞞天過海,môa-thiⁿ-kòe-hái/môa-thiⁿ-kè-hái,[熟語] 比喻欺騙的手法很高明。
磚仔,chng-á,[名詞] 磚頭、磚塊。用黏土燒成的長方體塊狀建材。
磨坩,bôa-khaⁿ,[名詞] 研磨缽。用來將食材磨成漿的陶製大碗及杵，碗中有細凹槽以增加研磨效果。
磟碡,la̍k-ta̍k,[名詞] 用來壓埋土塊、雜草，將田地整平成軟泥的農具。外觀似「曰」字型，中間為一滾筒，軸心有葉片，前由牛隻拖行，人以兩腳於其上前後踩踏，以增加重量。
瘸跤,khôe-kha/khê-kha,[形容詞] 瘸腿、跛腳。腳有毛病，走路不方便。
磨粿,bō-kóe/bō-ké,[動詞] 用石磨將米磨成漿，而後製成粿。
積德,chek-tek,[動詞] 積善。常作善事，累積善行。
瞞騙,môa-phiàn,[動詞] 欺瞞、欺騙。
篙,ko,[名詞] 長桿形的用具。
篡,chhoàn,[動詞] 霸占、強奪。
篦,pìn,"[名詞] 縫比較密的梳子，可去除頭蝨。
[動詞] 編製竹子。"
篩,thai,"[名詞] 用來去細取粒的竹製圓形多孔道具。
[動詞] 用篩子過濾東西。"
糕,ko,[名詞] 用糯米或穀類等磨粉加糖，再用糕模印成所要的樣子，將它蒸熟成糕。也有不加糖而加油和鹹配料的鹹糕。
糖,thn̂g,"[名詞] 糖類。
[名詞] 泛指用糖製成的東西。"
縋,lūi,[動詞] 用繩子將東西垂降。
縖,hâ,[動詞] 繫上、圍上。
縛,pa̍k,"[動詞] 有形或無形的束縛、捆綁。
[量詞] 計算成捆物品的單位。
[形容詞] 衣服穿得太緊。
[動詞] 編織長篾片製成的器物。"
縣,koān,[名詞] 地方行政單位。
糖丹,thn̂g-tan,[名詞] 糖精。一種合成的人工甘味劑，甜度是蔗糖的三百到五百倍，不易消化，且有致癌作用。在醫學用途上，可作糖尿病者的食糖代用品。
篩斗,thai-táu,[名詞] 藥篩子。篩藥粉用的篩子，通常是用紗或絹等細布做成。
糖水,thn̂g-chúi,[名詞] 將糖溶解在水中所製成的溶液，可以搭配其他食品成為甜味飲料。
篩仔,thai-á,[名詞] 篩子。一種竹片、鐵絲編成的過濾器具。有許多小孔，可使細碎物漏下去，而將較粗成塊的留在上面。
糕仔,ko-á,[名詞] 糕點。用糯米或穀類等磨粉加糖，再用糕模印成所要的樣子，將它蒸熟成糕。通常用以做為年節祭拜的祭品。
糕仔餅,ko-á-piáⁿ,[名詞] 糕餅、甜食。
糖仔餅,thn̂g-á-piáⁿ,[名詞] 糖果、餅乾的總稱。
糕仔頭,ko-á-thâu,[名詞] 一種在嫁女兒的時候，用來贈送給親友的食品，為澎湖地區習俗。
縣立,koān-li̍p,[形容詞] 由縣政府所設立的。
糖甘蜜甜,thn̂g-kam-bi̍t-tiⁿ,[熟語] 甜甜蜜蜜。
糖含仔,thn̂g-kâm-á,[名詞] 一種含在嘴裡的小糖球。
糖尿病,thn̂g-jiō-pēⁿ/thn̂g-liō-pīⁿ,[名詞] 病名。因胰島素分泌不足，導致消化及血糖值不正常的慢性疾病。會引起心臟、腎臟、高血壓等併發症。
縣長,koān-tiúⁿ,[名詞] 一縣的最高行政首長。
糖粉,thn̂g-hún,[名詞] 粉末狀的細糖。
窸倏,sī-sōa,"[副詞] 趕快、趕緊。
[副詞] 迅速、敏捷。"
窸窣叫,si̍h-su̍t-kiò,[形容詞] 吃麵或喝湯、水時所發出的聲音。
縖裙,hâ kûn,[動詞] 用布帶繫上裙子。
縛跤,pa̍k-kha,[動詞] 纏足。舊時婦女用布帛緊裹雙足，使之纖小，以為美觀。
縛粽,pa̍k chàng,"[動詞] 包粽子。
[動詞] 鹿港把上吊喻為「縛粽」。"
糖膏,thn̂g-ko,[名詞] 糖漿。糖水被濃縮成濃稠狀。
糖廠,thn̂g-chhiúⁿ,[名詞] 製糖工廠。
糖蔥,thn̂g-chhang,[名詞] 一種古早的小吃，用特選白糖，加一點檸檬，即可拉出延展性極高的黏糖膠，風乾變硬後再將其切成段，即可食用。
窸窸窣窣,si-si-su̍t-su̍t,[擬聲詞] 形容細碎的摩擦聲。
糖霜,thn̂g-sng,[名詞] 冰糖。一種精製而成的白色半透明結晶糖。
糖廍,thn̂g-phō͘,[名詞] 舊式糖廠。
膨,phòng,"[動詞] 鼓脹、膨脹。
[形容詞] 蓬鬆、有彈性、圓鼓鼓的東西。"
膭,kūi,"[名詞] 脹大凸起的肚子，指家畜類懷有身孕，若用於人則有嘲笑意謂。
[名詞] 稻子結成的一粒粒稻穗。"
興,heng,[動詞] 發展、興盛。
興,hèng,[動詞] 愛好、嗜好。
蕊,lúi,"[名詞] 花心、花蕾。
[量詞] 計算花和眼睛的單位。"
膭水,kūi-chúi,[動詞] 水腫、浮腫。
膨皮,phòng-phôe/phòng-phê,[形容詞] 形容臉頰飽滿豐盈的樣子。
膨床,phòng-chhn̂g,[名詞] 彈簧床。有彈簧裝置的床墊。
膨肚短命,phòng-tō͘-té-miā,[熟語] 凸肚子短命鬼。咒罵人早死的用語。
興旺,heng-ōng,[形容詞] 興隆旺盛的樣子。
膨疱,phòng-phā,[動詞] 起水泡。起潦泡、潦漿泡。皮膚因火傷、燙傷或磨傷而形成水泡。
膨風,phòng-hong,"[動詞] 脹氣。
[動詞] 吹牛。誇口說大話。"
膨風龜,phòng-hong-ku,"[名詞] 麵龜，一種用麵粉做成的食品，大多用在年節祭拜的時候。
[名詞] 指愛吹牛的人。"
膨粉,phòng-hún,[名詞] 泡粉。早期一種化妝品，用高嶺土、雪花石膏粉、香料、色素為材料，可以當作粉底或腮紅。婦女會在七夕時用來祭拜織女「七娘媽」(Chhit-niû-má)，以祈求美貌。
膨紗,phòng-se,[名詞] 毛線。
膨紗衫,phòng-se-saⁿ,[名詞] 毛線衣。用毛線所織成的衣服。
興衰,heng-soe,[名詞] 興盛與衰微。
興酒,hèng chiú,[動詞] 好酒。喜歡喝酒。
膨椅,phòng-í,[名詞] 沙發、沙發椅。裝有彈簧或厚泡沫塑膠座墊的椅子。
膨獅獅,phòng-sai-sai,"[形容詞] 形容毛髮膨鬆。
[形容詞] 氣鼓鼓、氣乎乎。形容人生氣時兩腮鼓起。"
膨鼠,phòng-chhí/phòng-chhú,[名詞] 松鼠。外形像老鼠但大些，尾巴長且膨鬆，常棲於樹上，吃果實。
膨餅,phòng-piáⁿ,"[名詞] 香餅、月子餅。宜蘭與臺南地區常見的傳統點心。一種發酵製成的餅乾，早期會加上雞蛋，以麻油慢煎至全熟，做為婦女坐月子的補品。宜蘭地區習慣加開水或飲品調食。
[名詞] 挨罵、碰釘子。"
興趣,hèng-chhù,"[名詞] 樂於學習、注意的事。
[名詞] 對事情感到有興致，願意投入參與。"
翱翱輾,kō-kō-liàn,[動詞] 滾來滾去。
興頭,hèng-thâu,[名詞] 興趣、帶勁兒。指對事物興趣濃、情緒高及態度積極。
膩瓤,jī-nn̂g/lī-nn̂g,"[名詞] 脂肪層。豬羊等牲畜皮下的脂肪層。
[名詞] 黃瓜、香瓜、苦瓜等瓜果類裡層混種子部分之通稱。"
蝹,un,[動詞] 蜷曲身體、曲身蹲坐。
褪,thǹg,"[動詞] 脫下。
[動詞] 蛻換。
[動詞] 把東西轉讓給別人。"
褫,thí,[動詞] 張開、展開。
褲,khò͘,[名詞] 褲子。穿在下身的服裝。
褪皮,thǹg-phôe/thǹg-phê,[動詞] 脫皮。
褪赤跤,thǹg-chhiah-kha,[動詞] 打赤腳。光著腳，不穿鞋襪。
褪衫,thǹg-saⁿ,[動詞] 褪衣、脫衣。脫掉上衣。
褲帶,khò͘-tòa,[名詞] 腰帶。紮緊褲腰的帶子。
褲袋仔,khò͘-tē-á,[名詞] 褲袋。褲子上面的口袋。
褪殼,thǹg-khak,[動詞] 脫殼、蛻皮。節肢動物和部分爬蟲類在生長過程中，將原有的外骨骼或外皮脫落，長出新的外殼或外皮，形體也不斷變大。
褫開,thí--khui,[動詞] 把東西打開。
褪腹裼,thǹg-pak-theh,[動詞] 打赤膊。光著上身。
褲跤,khò͘-kha,"[名詞] 褲腳。褲管口，褲管最下端開口的地方。
[名詞] 褲管。褲子的兩腿部分。"
褪齒,thǹg-khí,[動詞] 換牙。乳齒逐一脫落，由恆齒長出替換的現象。一般人在六歲到八歲時開始換牙，十二歲到十四歲時全部換成恆齒。
褪褲,thǹg-khò͘,[動詞] 脫褲子。
褪褲𡳞,thǹg-khò͘-lān,[動詞] 光屁股。專指男孩子沒穿褲子。
蕨貓,koeh-niau,[名詞] 過溝菜蕨、過貓。草本植物。嫩芽可以生食或熟食，也可以做觀賞性植物。含有維生素、礦物質及黏質物，具有清熱、解毒、利尿的功效。
褲頭,khò͘-thâu,[名詞] 褲子最上端，位於腰部，用來繫腰帶的部位。
親,chhin,"[形容詞] 有血親關係的。
[名詞] 親戚。
[形容詞] 親近、親密。
[副詞] 親自。
[名詞] 婚事。
[名詞] 父母。"
諞,pián,[動詞] 詐欺、拐騙。
諾,--hioh,[助詞] 感嘆詞。表示領悟的語氣詞。
謔,gio̍h,[動詞] 戲弄。
貓,niau,"[名詞] 常見家畜的一種。瞳孔大小會因為光線的強弱而改變，聽覺和視覺都很敏銳，行動敏捷，善捕鼠。
[名詞] 用來指女人。
[形容詞] 臉上有麻點。"
賰,chhun,"[動詞] 剩餘。
[動詞] 存下錢來。"
賴,lōa,"[動詞] 誣指人家做壞事。
[名詞] 姓。
[動詞] 纏著。"
蹁,phîn,[動詞] 因暈眩、貧血、醉酒等因素而走路不穩。
蹄,tê/tôe,"[名詞] 人或動物的腳。
[名詞] 人的手掌。"
親人,chhin-lâng,"[名詞] 親人、至親。關係親近的親屬。
[名詞] 同宗、同姓。原本非親非故，因為同姓而攀親帶故的人。"
親切,chhin-chhiat,[形容詞] 和善懇切。
親友,chhin-iú,[名詞] 親戚和朋友。
親手,chhin-chhiú,[動詞] 親自動手，經由自己的手。
觱仔,pi-á,[名詞] 哨子。
貓仔,niau-á,[名詞] 常見家畜的一種。瞳孔大小會因為光線的強弱而改變，聽覺和視覺都很敏銳，行動敏捷，善捕鼠。
諞仙仔,pián-sian-á,[名詞] 騙子、郎中。指用謊話或詭計去陷害別人的人。
親生,chhin-seⁿ/chhin-siⁿ,[形容詞] 親自生育的。
親目,chhin-ba̍k,[動詞] 親眼。親自看到。
親身,chhin-sin,[名詞] 親自。
親事,chhin-sū,[名詞] 婚姻大事。
貓兒竹,bâ-jî-tek/bâ-lî-tek,[名詞] 孟宗竹、毛竹。禾本植物。根莖細長，地下莖中空，有明顯的節，節上有一條環狀突起。葉子多為三葉一叢，表面綠色，背面稍帶白色。花穗多數密集為針披狀圓柱形，淡綠色。是優良的建築材料，也可用來製造器物。
親姆,chheⁿ-ḿ/chhiⁿ-ḿ,[名詞] 親家母。稱謂。稱呼姻親關係中對方的母親。
親姆婆,chheⁿ-ḿ-pô/chhiⁿ-ḿ-pô,[名詞] 稱謂。稱呼親家的母親。
賰的,chhun--ê,[名詞] 剩下的。
親近,chhin-kīn/chhin-kūn,[動詞] 親善接近。
貓咪,niau-bî,[名詞] 貓。
貓面,niau-bīn,[名詞] 麻臉。因天花病的症狀而導致臉上留下凹凸不平的疤痕。
親家,chhin-ke,[名詞] 親家翁。稱謂。姻親關係中對對方父親的稱呼。
親家公,chhin-ke-kong,[名詞] 稱謂。稱呼親家的父親。
謀財害命,bô͘-châi-hāi-bēng,[熟語] 為謀奪錢財而傷人性命。
親骨肉,chhin-kut-jio̍k/chhin-kut-lio̍k,[名詞] 至親。父母兄弟等親人。
親堂,chhin-tông,[名詞] 堂房。同宗但非嫡親的親戚。
親密,chhin-bi̍t,[動詞] 親近。關係親近密切。
親情,chhin-chiâⁿ,"[名詞] 親戚。
[名詞] 親事、婚事。"
親戚,chhin-chhek,[名詞] 血親和姻親的總稱。
親情五十,chhin-chiâⁿ-gō͘-cha̍p,[名詞] 親朋好友。泛指所有的親戚和朋友。
親族,chhin-cho̍k,[名詞] 親戚、族親。有血統關係的同宗族人。
親喙,chhin-chhùi,[動詞] 親口。
親愛,chhin-ài,[動詞] 關係密切、情感深厚。
親像,chhin-chhiūⁿ,[副詞] 好像、好比。
貓貓,niau-niau,[形容詞] 形容一個人的臉上皮膚斑點很多或坑坑洞洞的，像橘子皮一樣。
賰錢,chhun-chîⁿ,"[名詞] 用剩的金錢。
[名詞] 積蓄下來的錢。"
貓頭鳥,niau-thâu-chiáu,[名詞] 貓頭鷹、夜鴞。禽鳥類。眼睛大而圓，肉食性，晝伏夜出，捕捉鼠、麻雀等小動物。
貓霧仔光,bâ-bū-á-kng,[名詞] 破曉時的天色。
貓霧光,bâ-bū-kng,[形容詞] 曙光出現時的光亮。
躽,nòa,[動詞] 倒在地上或床上翻滾。
輸,su,"[動詞] 贏的相反。
[動詞] 不如、比不上。
[動詞] 運送、運輸。
[動詞] 打賭。"
辦,pān,"[動詞] 處理。
[動詞] 採買。
[動詞] 準備。
[動詞] 經營、創建。"
選,soán,[動詞] 挑取、選擇。
遹,u̍t,[動詞] 短暫停留、徘徊遊走。
遺,i,[動詞] 到處亂放。
醒,chhéⁿ/chhíⁿ,"[動詞] 結束睡眠狀態。
[動詞] 從酒醉、麻醉或昏迷的狀態下恢復正常。
[量詞] 計算睡眠次數的單位。"
鋸,kì/kù,"[動詞] 用鋸子鋸物。
[名詞] 用來斷開木頭的工具，邊緣有尖齒。"
鋼,kǹg,[名詞] 精鍊的鐵。
錄,lo̍k,"[動詞] 將文字、聲音或影像記載下來。
[動詞] 採取、採用。
[名詞] 登記事物各項資訊的書籍、簿冊。"
輸入,su-ji̍p/su-li̍p,"[動詞] 進口、入口。貨物、思想、科技等東西從外地或外國傳入本地或本國。
[動詞] 將資料、信號等訊息鍵入及貯存在電腦裡面。"
辦公,pān-kong,[動詞] 處理公家的事務。
扮公伙仔,pān-kong-hóe-á/pān-kong-hé-á,[動詞] 扮家家酒。一種常見的兒戲。小孩間各自扮演家庭腳色，擬構各種情節進行遊戲，可單人玩，也可以多人玩。
選手,soán-chhiú,[名詞] 參加各種比賽的代表者。
鋸仔,kì-á/kù-á,[名詞] 鋸子。用來切斷木材、石材或金屬等的工具。邊緣呈齒狀，用薄鋼刀製作而成。
輸出,su-chhut,"[動詞] 出口。貨物、思想、科技等東西從本地或本國傳到外地或外國。
[動詞] 將資料、信號等訊息從某內部傳送到外部。"
遵守,chun-siú,[動詞] 謹守、服從。
輸血,su-hoeh/su-huih,[動詞] 把健康人的血漿，移注到病人體內。一般多由靜脈緩緩輸入，但對於病勢危急的患者，可由動脈進行輸血急救。
遺言,ûi-giân,[名詞] 遺書、遺囑。人在臨終前所遺留的言辭。
遵命,chun-bēng,[動詞] 遵從、從命。遵循命令。通常用在戲劇中，下屬對於上司發號命令的應答。
辦法,pān-hoat,[名詞] 處理事務或解決問題的方法、措施。
輸面,su-bīn,[名詞] 輸局。會輸的成分、局面。
錄音,lo̍k-im,[動詞] 用機器設備將聲音收錄下來。
錄音機,lo̍k-im-ki,[名詞] 一種能將聲音的振動轉換成電磁信號，記錄於磁帶上，並將磁帶上的信號轉換成聲音播放的機器。
醒悟,séng-ngō͘,[動詞] 覺醒明白。
辦桌,pān-toh,[動詞] 設宴、辦酒席。指外燴者到家裡掌廚，準備酒菜宴客。
遺書,ûi-su,[名詞] 死者所遺留下來的文字。
辦理,pān-lí,[動詞] 處理。安排事務。
遺產,ûi-sán,[名詞] 人死後所遺留下來的一切財產。
選票,soán-phiò,[名詞] 選舉時用來填寫或圈選被選舉人姓名的票張。
辦貨,pān-hòe/pān-hè,[動詞] 採購。備辦物品、採購貨物。
鋼琴,kǹg-khîm,[名詞] 樂器名。鍵盤樂器。有直立式和平臺式，手指按動鍵盤時會牽動鍵盤下的木槌敲打鋼絲絃，是樂團中的重要樂器。
鋼筆,kǹg-pit,"[名詞] 用墨水書寫的一種筆，金屬筆尖，筆內有墨水管及貯墨水。
[名詞] 在鋼版的蠟紙上寫油印文件所用的筆。"
鋸齒,kì-khí/kù-khí,[名詞] 鋸子上的尖齒。
選擇,soán-te̍k,[動詞] 挑選、擇取。
遺憾,ûi-hām,[名詞] 缺憾、惋惜。
選舉,soán-kí/soán-kú,[動詞] 用選票或舉手等表決方式，來選出代表或負責人。
輸贏,su-iâⁿ,"[名詞] 勝負、勝敗。
[動詞] 打賭。"
鋼鐵,kǹg-thih,[名詞] 鋼和鐵的合稱，也泛指鋼鐵類的金屬。
鋸鑢仔,kì-lē-á/kù-lōe-á,[名詞] 銼刀。用鋼鐵製成，上面有細齒，可用來磨銅、鐵、竹、木等物品的工具。
遺囑,ûi-chiok,[名詞] 遺書、遺囑。人在臨終前所遺留的言辭。
錚,chhāⁿ,"[動詞] 爭論、計較。
[擬聲詞] 狀聲詞，敲打鑼鈸的聲音。"
錢,chîⁿ,"[名詞] 貨幣。
[量詞] 計算重量的單位。公制一錢等於百分之一公斤，台制一錢等於十分之一台兩。
[名詞] 姓氏。"
錫,siah,[名詞] 金屬類之一，質地軟且韌性大，富延展性。
錶,pió,"[名詞] 用來計時的器具。
[名詞] 用來測量單位數量的器具。"
閹,iam,[動詞] 割除雄性器官。
隨,sûi,"[動詞] 跟從。
[副詞] 即刻、馬上。
[形容詞] 各個、逐個。"
險,hiám,"[形容詞] 不安全的。
[副詞] 差一點、幾乎。"
雕,tiau,"[動詞] 以工具鏤刻材料。
[動詞] 拗、折物品使之彎曲。
[動詞] 比喻為將人的個性調教成某種樣子。
[動詞] 打扮。"
靜,chēⁿ,[形容詞] 不動、無聲。
靜,chēng,[形容詞] 不動、無聲。
錯手,chhò-chhiú,[動詞] 失手。不小心而造成的錯誤。
錶仔,pió-á,[名詞] 手錶、懷錶等小型、可攜帶的計時器總稱。
隨在,sûi-chāi,[動詞] 任憑、任由。
隨在你,sûi-chāi--lí,[熟語] 隨便你。
閻君,Giâm-kun,[名詞] 閻羅、閻羅王。地獄中的鬼王，在佛經中是地獄的審判者，掌管人間的生死、壽命，及獎善罰惡諸事。
靜坐,chēng-chō,"[動詞] 靜心安坐、安靜的坐著。
[動詞] 一種道家修養的功夫。
[動詞] 為了表示抗議或是為了達到某種目的而安靜坐著。"
隨身,sûi-sin,[動詞] 隨時帶在身上。
雕刻,tiau-khek,[名詞] 用刀子在玉、石、木頭等材料上堆砌、雕鑿、刻畫而形成的一種立體造形藝術。
隨便,sûi-piān,"[副詞] 隨意。隨個人的方便，在性質、範圍、數量等方面不加以限制。
[形容詞] 馬虎。不用心、不認真。"
隨後,sûi-āu,[副詞] 之後。
隨時,sûi-sî,"[副詞] 任何時候、無論何時。
[副詞] 馬上、立刻。"
錢根,chîⁿ-kin/chîⁿ-kun,[名詞] 銀根。金融市場上貨幣、資金流通供應的情形。
錢桌仔,chîⁿ-toh-á,[名詞] 指小錢莊、錢攤子。
錢財,chîⁿ-châi,[名詞] 金錢財富的通稱。
錢鬼,chîⁿ-kúi,[名詞] 守財奴、拜金主義者。
錢莊,chîⁿ-chng,[名詞] 舊式的私人金融機關，經營金錢流通的事業。
錦蛇,gím-chôa,[名詞] 爬蟲類動物。身體有美麗的花紋，體型巨大，常達三公尺以上，不具毒性，通常用身體將獵物勒死後吞食。多分布於熱帶森林中。
錢袋仔,chîⁿ-tē-á,[名詞] 錢袋、錢包。
錢筒仔,chîⁿ-tâng-á,[名詞] 撲滿、存錢筒。
錢項,chîⁿ-hāng,[名詞] 款子、款項。錢方面的事。
錯亂,chhò-loān,[動詞] 失常。沒有次序、失去常態。
隨意,sûi-ì,[動詞] 自由、任憑自己的意思。
錢鼠,chîⁿ-chhí/chîⁿ-chhú,"[名詞] 一種食蟲目小型哺乳類動物，外型像小老鼠，民間傳說會為人帶來財運。
[名詞] 比喻守財奴。"
錯誤,chhò-gō͘,[名詞] 指不正確的事物、行為等。
隨緣,sûi-iân,[動詞] 任隨緣分而定，不加強求。
靜養,chēng-ióng,[動詞] 安靜休養。
隨機應變,sûi-ki-èng-piàn,[熟語] 見機行事、因時制宜。臨事能妥善變通處置。
險險,hiám-hiám,[副詞] 差一點、險些。
錢櫃,chîⁿ-kūi,[名詞] 金櫃、金庫。
閹雞,iam-ke/iam-koe,[名詞] 被閹割過的公雞。現在外面的招牌都戲稱「太監雞」。
閻羅王,Giâm-lô-ông,[名詞] 地獄中的鬼王。在佛經中是地獄的審判者，掌管人間的生死、壽命，及獎善罰惡諸事。
錢關,chîⁿ-koan,[名詞] 金錢周轉的關頭。
錢鰻,chîⁿ-môa,[名詞] 魚類。體形和一般鰻魚相似，色澤黑褐，體表佈滿類似古錢的小圓圈，因此稱為「錢鰻」。生長於海底礁石中，頭尖細，尾扁平，眼小口大，門牙微露，全身光滑，生性凶猛，以海中小生物為食。
鞘,siù,[名詞] 用來套住刀、劍的硬殼。
頭,thâu,"[名詞] 首、腦袋。
[代詞] 第一的、最初的。
[副詞] 表示方位、地方或場所的詞尾。
[名詞] 居前的領導人物。
[] 詞綴，可加於某些詞語後。
[名詞] 根本、源頭。
[名詞] 事情的開端。
[副詞] 時間的開始階段。
[名詞] 碎屑、一點點。
[名詞] 事、物的前端。
[名詞] 最初得到的東西。
[量詞] 果菜或貨物批發時，大、中盤商用來計算一大籮菜或是一批貨的單位。一頭等於半擔或一籮，一擔就是兩頭。
[名詞] 一方、一邊。
[名詞] 指頭髮。"
頷,ām,[名詞] 脖子。
餡,āⁿ,[名詞] 包在麵包、包子或水餃等食物裡頭的料。
館,koán,"[名詞] 供人食宿的地方。
[名詞] 房舍、住所。
[名詞] 供人飲食娛樂或從事某些工作的場所。"
髻,kòe/kè,[名詞] 盤結在頭頂上或挽在腦後的頭髮，有各種形狀。
頭七,thâu-chhit,[名詞] 人死後，每隔七天奠祭一次，第一個七日稱為「頭七」。民間傳說死者到這一天才知道自己已死，靈魂會回到家裡巡視，喪家會在這天延請僧人在靈前誦經致祭。
頭人,thâu-lâng,[名詞] 首領、領袖。
頷巾,ām-kin/ām-kun,[名詞] 圍巾。
頭上仔,thâu-chiūⁿ-á,[名詞] 頭胎、第一胎。
頭手,thâu-chhiú,"[名詞] 一個單位的最高負責人，如領班等。
[名詞] 首席、高足。比喻技術高明或能幹的人。"
頭毛,thâu-mn̂g,[名詞] 頭髮。
頭水,thâu-chúi,[名詞] 新上市。第一批出產的牲畜或蔬果。
骿支骨,phiaⁿ-ki-kut,[名詞] 肋骨。人或高等動物胸腔兩側弓形的扁骨。前端有軟骨連接兩邊，後端和脊柱相接，形成胸廓，有保護胸腔內臟及控制呼吸的作用。
頭毛菜,thâu-mn̂g-chhài,[名詞] 髮菜、頭髮菜。草本植物。形狀和顏色像頭髮，可供食用，春、秋兩季採收。臺灣玉山和阿里山山脈的森林草原或叢林地區有野生品種。
頭毛鋏仔,thâu-mn̂g-giap-á,[名詞] 髮夾。用來固定頭髮的夾子，有美觀和讓頭髮整齊的作用。
頭牙,thâu-gê,[名詞] 土地公生日。漢族傳統民俗節日之一。農曆二月初二。這天是土地公生日，也是農曆年後第一次祭祀土地公，所以該次的祭祀土地公稱做「頭牙」。
頭仔,thâu--á,[副詞] 最初。最早的時期、剛開始的時候。
髻仔鬃,kòe-á-chang/kè-á-chang,[名詞] 假髮束。
頭目,thâu-ba̍k,"[名詞] 頭和眼睛的合稱，引申為領導人、酋長、頭兒，通常有貶義，用來指稱壞人的領導者。
[名詞] 植物靠近根部的第一個節目。"
頭目鳥,thâu-ba̍k-chiáu,"[名詞] 頭目、頭子。
[形容詞] 形容很熟悉某地、對某地方知道很多、很道地。"
頭先,thâu-seng,[時間詞] 起初、起先。在時間或事情流程上比較早的。
頭名,thâu-miâ,[名詞] 榜首、第一名。在所有參加競賽的人中得到最好的成績。
