編號,語法點,例句
101-01,| [動詞]+有/無法+得 | [tōng-sû]+ū/bô-hoat+--tit | 表示能/不能做到。現代口語中「得(--tit)」常省略。 |,"['伊的身材瘦閣......', '伊的身材瘦閣兼薄板，敢搬有法？', '載遐爾濟菜，敢載有法？', '真正讀無法的嘛無勉強，', '這枝柱仔傷細枝，載無法得。']"
102-01,| [動詞]+一下仔+[賓語] | [tōng-sû]+chi̍t-ē-á+[pin-gí] | 表示短時或少量的動作，「仔」不可省略。 |,"['歇一下仔中晝，', '會當享受一下仔清閒，免閣遐爾勞碌，', '干焦早起去抾......', '干焦早起去抾一下仔字紙爾，', '好啦！予我先洗一下仔面。', '所以見若落一下仔雨，']"
103-01,| 哪/呔/盍…… | ná/thài/khah... | 「怎麼……」，以反問表示強調的語氣。 |,"['穿游泳衫、游泳褲的呔遐濟，', '𪜶的生活方式哪會遮怪奇？', '是按怎下昏盍會恬恬咧，', '彼陣盍遐爾仔戇，', '欲哪有可能送予別人咧？', '欸，你毋是無女朋友？呔會共阿美仔騙啊！', '像阮這款生食都無夠的人哪有法度提會出來，']"
104-01,| ……的時（陣） | ...ê sî(-chūn) | 在某個時間點，即「……的時候」。「的」不可省略。 |,"['佇我受委屈的時陣安慰我；', '真少有兩个年級做伙上課的時陣。', '細漢的時，我上愛綴阿母去踅菜市仔，', '大學二年的時我做副社長', '落車的時陣天烏陰烏陰，', '等天氣較涼的時，咱會使來去遐𨑨迌。']"
105-01,| 無啥（物）+[形容詞/動詞/名詞] | bô-siáⁿ(-mih)/bô kài/bô gōa+[hêng-iông-sû/tōng-sû] | 表示「不太、不怎麼、沒什麼……」。 |,"['真濟科學研究基本的無啥實際用途', '正蕊無啥各樣，毋過發現倒蕊有問題，', '阮古早的中秋，佮月娘無啥物關係，', '可能兩床的品質會無啥一致。', '我跤手無啥振動，煞嘛忝甲欲害去。', '免送禮物嘛無啥謝師宴']"
106-01,| 足/真/誠+[形容詞] | chiok/chin/chiâⁿ+[hêng-iông-sû] | 程度副詞，即「很……」。 |,"['外口的雨誠大，', '阿雪講甲足驚惶的。', '所以大部分攏真散食。', '阮兜誠散赤，', '身體恢復了誠好，', '實在足有價值啦！', '阮爸仔真佮意伊，', '逐个學生攏真骨力表現。']"
106-02,| 加足/真/誠+[形容詞] | ke chiok/chin/chiâⁿ+[hêng-iông-sû] | 即「……得多」，表示程度提升很多。 |,"['雙爿面攏有樹仔加誠鎮地；', '水牛的身體比獵豹加真大，', '這時，樹蔭加誠密，', '彼个時代加真艱苦。', '北台灣空氣品質會「加足好」', '北台灣空氣品......', '閣比進前加足有元氣！']"
107-01,| 替 | thè | 替+對象+幫該對象做的事。 |,"['絕對無替𪜶廣告的嫌疑，', '敢毋免替少年的小想一下。', '有代書來講伊欲替阮辦，', '一方面嘛開始......', 'Mac替我做工已經有四冬，', '一方面嘛開始替伊收拾厝內。']"
108-01,| 共+[對象]+[動作] | kā+[tùi-siōng]+[tōng-chok] | 把/將/對/向某對象執行某動作，對象有時可省略。 |,"['趕緊共伊搝去邊仔，細聲共講：', '雄雄硞一下一聲，停手共看，', '人伊早就起來共早頓攢好勢矣。', '刁工共遮的衫穿佇身上，', '好禮仔共伊招呼。', '阿兄走過來共我扶，']"
108-02,| 共（伊）…… | kā(-i)... | 「共」後非實質的對象以「伊」表示，「共伊」可合音，合音時讀為kā且不變調。表示執行後接的動作，有時僅表示加強語氣、程度，沒有對象。 |,"['熱情的歌聲共唱予滿四界，', '咱共想看覓，', 'chhiah-chhiah共跳落去，', '你共看，佮正手有一寡精差。', '就欲來共伊心適一下。']"
108-03,| 共我…… | kā góa... | 語氣不好的命令句。「我」可換成其他指稱自己的用語。 |,"['你共恁爸講予伊清楚。', '我心肝內想：啊好啊你，你共我等咧！', '你共我恬去！', '你共我會記咧！']"
108-04,| 共……[動詞]+做…… | kā...[tōng-sû]+chò... | 把A轉換成B。 |,"['有欲共山崙的一部份起做go͘-lú-huh場的計畫，', '代先共秫米挨做米漿，', '所以𪜶攏共烏頭殼仔看做家己的兄弟，', '將所有傳入的佛教經典攏共翻做漢語', '有共患者發膿堅焦的疕磨做粉，']"
109-01,| 予1+[賓語] | hō͘(1)+[pin-gí] | 「予」做動詞，表示「給予、交付」。 |,"['你共單、印仔佮寄金簿仔予我。我共你辦。', '阿母買枝仔冰，予我佮阮小弟食，', '𪜶予我一个主任的職位，', '向望我會當做一个予人溫暖的人！', '予我力量', '會予人無好的印象，']"
109-02,| [動詞]+([名詞]+)予2+[名詞]+([動詞]) | [tōng-sû]+([miâ-sû])+hō͘(2)+[miâ-sû]+([tōng-sû]) | 「予」做介詞，表示「給」，後接賓語。 |,"['小學學的尾仔攏還轉去予老師矣。', '蕭先生，我開單仔予你，', 'V1O予Ó', 'V1予ÓV2', 'V1予Ó', '你小坐一下，......', '閣炒一項青菜予我配。', 'V1O予ÓV2', '我這陣就隨敲電話予阿進仔，', '敢有暗崁啥好物無提出來煮予人客食的，', '小等咧才講予你知！', '就會做紅龜粿送予親情朋友。', '你小坐一下，我捀茶予你啉，']"
109-03,| 予3+[對象]+[動詞] | hō͘(3)+[tùi-siōng]+[tōng-sû] | 表示使/讓/允許某對象做某事。 |,"['予健康人去穢牛的痘，', '予𪜶成做翁仔某。', '呔攏無欲予阿爸知影咧！', '予咱來欣賞。', '稻仔割了後，通常攏是予田地歇睏，', '實在予阮真欣羨。', '這予我想袂曉，']"
109-04,"| 予4+[對象]+[動詞] | hō͘(4)+[tùi-siōng]+[tōng-sû] | 被動句，即被……。接「人」成為「予人」時，多以合音形式hōng, hông出現。 |","['有當時連眠床嘛攏予雨沃甲澹糊糊。', '𪜶攏予阿竹仔驚驚著！', '毋但學著語言，公孫仔感情嘛好甲hông欣羨。', '阮老爸會𤆬我去親情兜去予人請，', '伊共人算命準甲會予人驚著，', '竹仔林予風吹甲siù-siù叫，', '有人煩惱食，有人煩惱錢；有人煩惱好額會hông掠，', '結果煞予阿雪看破跤手，']"
109-05,| 予5（伊） | hō͘(5)(-i) | 使、讓，「予」後受事的對象以「伊」代表。「予伊」可合音，合音時讀為hō͘且不變調。 |,"['熱情的歌聲共唱予滿四界，', '機會來到面頭前的時，才有才調共掠予牢', '身軀坐予正，手扞仔掠予在，', '食予死，毋通死無食！', '食予飽睏予飽，伊著滿足；', '好，會使得共衫仔穿予好，', '挽無著的，就放予柯，']"
110-01,| 好+[動詞] | hó+[tōng-sû] | 表示「應該、可以……」。 |,"['你蓋兩領被傷濟矣，毋才會按呢。一領好收起來矣。', '好來去轉矣。', '熱人到矣，電風好提出來矣。', '想講等兩點鐘就好通走囉。', '講甲予你捌，喙鬚好拍結。']"
110-02,| 毋好+[動詞] | m̄-hó+[tōng-sû] | 表示「別、不可以……」。 |,"['你毋好一日到暗拋拋走。', '感動是足可貴毋好放袂記得', '醬菜毋好食傷濟', '愛注意毋好予臭焦，', '伊上愛膨風，你毋好予伊騙去。']"
111-01,| 通+[動詞] | thang+[tōng-sû] | 表示「能夠、可以……」。 |,"['好天的時嘛通看著台灣海峽佮太平洋，', '規粒山無幾欉樹仔通遮日頭。', '欲揣看有啥較奇巧的物件通食無？', '這是較普通的鳥仔，四界攏有機會通翕著，', '日時有代誌通無閒，暗時毋才睏會去。']"
111-02,| 毋通+[動詞] | m̄-thang+[tōng-sû] | 表示「不要、不可以……」。 |,"['會食得的物件，毋通討債。', '惹熊惹虎，毋通惹著刺查某。', '食予死，毋通死無食', '買物先看品質，毋通干焦貪著俗，', '咱毋通為反對來反對。', '買物先看品質......']"
111-03,| 無通+[動詞] | bô-thang+[tōng-sû] | 表示「不能、沒得……」。 |,"['毋過日本欲治理臺灣，嘛無通遮爾好食睏，', '無通綴人出去遊山玩水。', '攏無通閘風，無通覕寒。', '可惜的是小生理無通趁大錢，', '就是一人一塊硼砂餅，無通加一塊，']"
112-01,| 連……都 | liân...to | 強調語氣，表示「連……都……」。在部分語境中「都」可替換成「嘛」。 |,"['遮簡單的算術，連五、六歲囡仔都會曉，', '對透早等到日黃昏，連一隻細隻蠓仔都無踏跤到，', '拚甲三頓無照時間食，有時連食飯的時間都無。', '連來學校接囡仔的家長嘛按呢講！', '連小說嘛攏有，', '你看，連這我嘛知，']"
113-01,| [動詞]+完/了/煞/好 | [tōng-sû]+oân/liáu/soah/hó | 表示動作已經完成、結束。這個結構的賓語會放在動詞前面。依不同的語境或個人習慣會選用不同的補語，「完、了」通常表示單純完成，「煞」通常表示事件結束，「好」通常表示產生一個結果。 |,"['將遮的li-li-khok-khok的代誌做了，', '讀完，咱會重頭閣去思考家己人生的方向，', '你單敢寫好矣？', '我參觀了，煞有淡薄仔失望；', '袂麻煩，已經攏準備好矣。', '嘿！我攏攢好矣，你才欲入去！', '教完的時要求𪜶照劇情配音，', '國校讀煞，干焦伊考牢初中', '早頓食煞，五點半跤兜，']"
114-01,| [動詞]+上+[賓語] | [tōng-sû]+chiūⁿ+[pin-gí] | 從下往上到賓語的位置。 |,"['嘛是台灣欲行上國際舞台的另外一个撇步！', '阮兜紅紅的西瓜切好捀上桌頂一人一𥐵，', '兩隻同齊𬦰上橋頂，', '我一路駛上一三九道路對公園路的市內行，', '好話送上天，歹話囥一邊。']"
114-02,| [動詞]+落+[賓語] | [tōng-sû]+lo̍h+[pin-gí] | 從上往下到賓語的位置。 |,"['逐日天光到日頭落山挖塗流。', '仝款切予一塊一塊抨落鼎底用煠的，', '一支劍插落塗，', '因為政治因素，煞漸漸行落崎，', '流籠坐落樓跤，', 'pőng一下有人摔落海，是阮小弟，']"
115-01,| [動詞]+出…… | [tōng-sû]+chhut... | 動詞的方向從處所的內到外。不可在句末。 |,"['明結拄傱出門口爾，就佇亭仔跤拄著俊生；', '予咱台灣人大聲喝出家己的名', '鳥仔放出籠。', '上好飛出太空來佮月娘唸情詩', '上好飛出太空......', '行出台南車頭，']"
115-02,| [動詞]+入…… | [tōng-sû]+ji̍p... | 動詞的方向從處所的外到內。不可在句末。 |,"['佛教對印度傳入中國了後，就完全變形去矣。', '我佮阿吉就趕緊傱入店內揣椅揣桌來坐。', '一手美金囥入胸前，一手銃管調向天頂，', '一箱閣一箱的物資送入災區。', '拄行入庄，遠遠就聽著狗仔咧吠的聲，']"
116-01,| [動詞]+來 | [tōng-sû]+lâi | 動詞的方向移向發話者。句末輕讀。 |,"['誠濟愛𬦰懸𬦰低的高手就攏倚來矣，', '你敢捌聽過秫米也會當提來造橋起厝？', '行來面頭前彼間咖啡館。', '翕鳥的人就規大陣，攏傱傱來矣，', '有一工飛來兩隻烏頭鵠仔，']"
116-02,| [動詞]+去 | [tōng-sû]+khì | 動詞的方向遠離發話者。句末輕讀。 |,"['險仔去予魔神仔牽去，', '我三不五時仔嘛會走去遐看人行棋', '規个煩惱嘛攏隨風飛飛去，', '趕緊報名綴去看覓咧。', '我欲提去伊的教室予伊。']"
116-03,| [動詞]+去[無方向] | [tōng-sû]+--khì | 表示消減或不樂見的結果，或表示動作結束。 |,"['因為阿爸毋知按怎駛的，煞駛甲毋知路去。', '嚇甲有的人真正頭殼歹去，', '毋是車就是人......', '毋是車就是人，強欲共路淹去，', '向望毋通共咱的語言本錢開焦去，', '常在作業寫到一半就覆佇桌仔頂睏去', '面積煞一直勼減去。', '作甲腰脊骨強欲折去。', '規欉死去，種無幾欉起來，', '較袂去予蛇、鳥仔食去。']"
116-04,| [動詞]+掉（去） | [tōng-sû]+tiāu (--khì) | 表示動作結果為除去或狀態終止。 |,"['啊彼號一寡環境哪會攏破壞掉去矣，', '蕭先生，你共外套褪掉，', '共薄縭絲的翼......', '共薄縭絲的翼股隨片仔掣掉去，', '共這个「重撥」的號碼洗掉去。', '抑是交予阮媽媽，共青青的粗皮削掉煮湯。', '二空空九年我共工課辭掉，', '袂穿得的衫褲毋甘擲掉，']"
117-01,| [動詞]+出來 | [tōng-sû]+chhut-lâi | 動詞的方向從內到外，移向發話者。句末輕讀。 |,"['毋過排出來的炭酸氣，是溫室氣體，', '厝邊隔壁攏趕緊走出來佇厝後拍火路', '過足久的，才有一个阿婆仔行出來問阮欲創啥。', '參考書捎出來讀，', '徛佇路口共簿仔提出來，', '趕緊趕緊，橐袋仔撏出來，', '過足久的，才......']"
117-02,| [動詞]+出來[無方向] | [tōng-sû]+chhut-lâi[bô hong-hiòng] | 產生或彰顯概念與事物。賓語提前或省略。句末輕讀。 |,"['最後阿川就哭出來矣。', '我就袂癮，干干仔愛共煮出來才甘願。', '寫出來分享、提供討論，', '加出來的二十年欲按怎處理才好？', '疫苗的技術發展出來了後，', '我只是共事實講出來niâ，敢講我有講毋著喔？', '會使真簡單就共分辨出來。']"
117-03,| [動詞]+出去 | [tōng-sû]+chhut-khì | 動詞的方向從內到外，遠離發話者。句末輕讀。 |,"['然後捐出去起病院佮圖書館。', '跤踏仔踏落去，車就衝出去矣。', '害老師原底的笑面雄雄變做欲哭欲哭，越頭隨走出去，', '出外的出外，查某囡仔無嫁出去的守舊厝。', '想欲來飛出去天邊', '十年後，規家搬出去公寓式的宿舍，']"
117-04,| [動詞]+入來 | [tōng-sû]+ji̍p-lâi | 動詞的方向從外到內，移向發話者。句末輕讀。即「進來」。 |,"['到站踏擋仔si-si叫，勻勻仔旋入來耳空內底，', '生理人對頂手割入來的貨仔，', '客運車就隨駛入來雪山磅空，', '驚萬不幸風若是灌入來，厝蓋煞去予風夯去，', '較早風颱定定對蘭陽溪口楔入來，', '佮煙筒管烏煙攏收入去！才閣對車窗飛入來。', '到站踏擋仔s......']"
117-05,| [動詞]+入去 | [tōng-sû]+ji̍p-khì | 動詞的方向從外到內，遠離發話者。句末輕讀。即「進去」。 |,"['隨粒仔囥入去發栽的盆仔，', '阿琪共數字拍入去一台真怪奇的電腦', '對外面欲攻入去非常困難。', '我綴伊傱入去，', '指示向正手爿斡入去。', '真好佳哉考入去警察學校，']"
118-01,| [動詞]+起來 | [tōng-sû]+khí-lâi | 動詞的方向從低處到高處，移向發話者。句末輕讀。 |,"['隨對膨椅頂跳起來，', '差不多兩分鐘就共撈起來盤仔頂，', '咱對倒手爿第一張共掀起來', '煠好共罟起來搵蒜茸豆油，', '等候若熟才挖起來食。']"
118-02,| [動詞]+（起）來[無方向] | [tōng-sû]+--(khí-)lâi[bô hong-hiòng] | 表示動作開始或發生，後面通常有動作的目的、判斷或結果。「起」有時可省略。 |,"['毋過好是好，做來才知無簡單，', '這个三歲囡仔算來就是我的外甥孫女。', '這馬，想來有夠歹勢，', '連鐵網仔嘛愛買新的共補起來。', '精神重新振作起來，', '表面上看來，', '一切看起來攏誠圓滿。']"
118-03,| [動詞]+起去 | [tōng-sû]+khí-khì | 動詞的方向從低處到高處，遠離發話者。句末輕讀。 |,"['規疊囥起去膨椅頂，', '船長跳起去棑仔頂，', '坐起去椅苴仔，', '爬起去就是塚仔埔。', '閣攑一枝鐵沙挑硩起去頂懸，']"
118-04,| [動詞]+落來 | [tōng-sû]+lo̍h-lâi | 動詞的方向從高處到低處，移向發話者。句末輕讀。即「下來」。 |,"['雲閣壓落來矣！', '傱落來樓跤，', '阿財天頂跋落來', '坐落來流目屎，', '摔落來塗跤兜，']"
118-05,| [動詞]+落來[無方向] | [tōng-sû]+lo̍h-lâi[bô hong-hiòng] | 表示動作發生且完成。句末輕讀。 |,"['我將伊記錄落來，', '足想欲予伊恬靜落來。', '無拍算國民黨共伊擋落來，', '停跤落來共教示。', '雖然拍無死，賰落來嘛是半條命。', '免抾阿姊留落來的舊衫，', '當咧無議量，就共允落來。']"
118-06,| [動詞]+落去 | [tōng-sû]+lo̍h-khì | 動詞的方向從高處到低處，遠離發話者。句末輕讀。即「下去」。 |,"['煞規盤總共捙落去潘桶去。', '兩人順一條坎坎坷坷的小路行落去，', '枝仔冰就佇阮相搶的時落落去塗跤，', '垃圾仔一喙一喙吞落去。', '人跳落去棑仔，划轉來岸邊', '枝仔冰就佇阮......']"
118-07,| [動詞]+落去[無方向] | [tōng-sû]+lo̍h-khì[bô hong-hiòng] | 表示動作繼續。句末輕讀。 |,"['紲落去食暗頓，', '啊~音樂共奏落去，', '氣甲袂曉閣講落去。', '將羅馬字共濫落去，', '繼續傳湠落去，']"
119-01,| [動詞]+過來 | [tōng-sû]+kòe-lâi | 動詞的方向從遠處到近處，移向發話者。句末輕讀。 |,"['拄好有一个少年家穿一領裘仔行過來。', '阿兄走過來共我扶，', '竟然共葵扇搶過來攑牢牢，', '來！照過來照過來！']"
119-02,| [動詞]+過去 | [tōng-sû]+kòe-khì | 動詞的方向從近處到遠處，遠離發話者。句末輕讀。 |,"['換我對這爿行過去，', '愛送過去加護病房照顧。', '綴查埔囡仔的眼神瞭過去，', '手捀彼周西瓜，佇肉頂懸正爿攄過來，倒爿攄過去，']"
119-03,| [動詞]+過（來/去） | [tōng-sû]+kòe | 隨動詞從一處到另一處。句末輕讀。 |,"['我講正爿斡過，山跤有靈山寺、白雲寺；', '一陣露螺寬寬仔爬，四界玲瑯踅，踅過田岸邊，踅過沙仔地', '沿路行過二仁溪墘，', '家己一个人褪赤跤對庄內的店仔頭行過，', '勻勻仔駛過巷仔尾的紅毛塗橋的時陣，', '雄雄一隻鳥仔飛過，']"
119-04,| [動詞]+轉來 | [tōng-sû]+tńg-lâi | 動詞的方向從他處返回，移向發話者。句末輕讀。即「回來」。 |,"['阿爸有買啥物果子轉來？', '斡轉來另外一逝步道，', '對動物病院共𤆬轉來飼，', '共開去的錢趁轉來。', '真正予我借著。我提轉來厝看，', '這是咱台灣人的權利，咱一定愛討轉來。']"
119-05,| [動詞]+轉去 | [tōng-sû]+tńg-khì | 動詞的方向從他處返回，遠離發話者。句末輕讀。即「回去」。 |,"['政府講欲共咱的土地收轉去。', '走轉去問阿媽。', '慢慢仔行轉去厝內底。', '細漢爸母無閒......', '順紲紮一粒麵龜轉去。', '細漢爸母無閒共我送轉去庄跤老厝，']"
120-01,| 一[量詞]一[量詞]…… | chi̍t [liōng-sû] chi̍t [liōng-sû]... | 逐一。 |,"['這馬一步一步行入去家己食甲空空空的烏樹林內底。', '一莢一莢親像關刀按呢吊佇樹仔椏幌來幌去。', '烏面抐桮，𪜶生活攏是一群一群鬥陣做伙的，', '久來才斟酌著鋁合金的輪框起一搭一搭的白烌，']"
121-01,| 連鞭……連鞭…… | liâm-mi…liâm-mi… | 表示一下子這樣一下子那樣、一會兒……一會兒……。也可以用「一下仔……一下仔……」。 |,"['穿插嘛著連鞭短䘼、連鞭長䘼換來換去，', '白雲踮山頂尾溜沓沓飛來，連鞭懸，連鞭低；', '心跳無規律，連鞭緊、連鞭慢，', '手扞仔一下仔蹁正爿，一下仔蹁倒爿。', '連鞭伸筋挽頷，連鞭傱來傱去，']"
122-01,| ……煞…… | ...soah… | 卻、竟。表示語氣轉折的連接詞。 |,"['伊生做袂䆀煞愛做歹，', '我參觀了，煞有淡薄仔失望；', '來遮予恁疼痛，煞惹恁操煩，', '食佮蹛的錢歡喜甲煞袂記得納，', '傷過歡喜，無......', '傷過歡喜，無細膩煞騎甲無油顧路，']"
123-01,| [賓語]+[動詞]+[補語] | [pin-gí]+[tōng-sû]+[pó͘-gí] | 華語[動詞]+[補語]+[賓語]的句式，若為「動作+結果」，則台語的賓語必須強制提前，成為[賓語]+[動詞]+[補語]。但若補語為有、無、輸、贏、斷、破、死等，可容許賓語不提前。 |,"['嘛是因為阿公拆散𪜶爸仔囝（平衡）', '伊看有宋澤萊的台語詩。', '阮阿公是青盲牛，頂懸的字看無。', '伊出車禍挵斷一齒角齒', '[賓語前後皆可]', '阿扁仔衫褲款好好，準備欲出獄矣，', '毋忍心來拆破你欺騙的話，莫閣講遐爾濟（歌詞）', '啊都這幾日生理攏做無，', '干焦聽有伊上慣勢的語言。', '工課若做煞，逐家攏是兩肢手膨疱兼遛皮，', '摃破家己的招牌', '[賓語無提前]', '閣想欲澈底拍贏北風，', '啥物心情攏揣有一首歌來合', '你功課做了矣是毋？', '人咧講話，你莫共人拍斷鼓柄。', '咱「拉麵」食了才來做功課好無？', '[賓語強制提前]', '阿扁仔衫褲款......', '正經揣無跤路通迒過']"
123-02,| [動詞]+[賓語]+[補語] | [tōng-sû]+[pin-gí]+[pó͘-gí] | 華語[動詞]+[補語]+[賓語]的句式，在特定幾個用法中會習慣以[動詞]+[賓語]+[補語]的順序使用。 |,"['鬥陣的時陣煞......', '到食飯飽的下晡時，', '啉酒醉咧掠兔仔', '食晝飽盹龜一下。', '鬥陣的時陣煞賰食暗飽到欲睏的這段時間爾爾。']"
124-01,| [動詞]+（過）來+[動詞]+（過）去 | [tōng-sû]+(kòe-)lâi+[tōng-sû]+(kòe-)khì | 動詞重疊，嵌入來、去，表示動作反覆。 |,"['嫌豆仔有烏斑，嫌豆仔有蟲空。嫌過來嫌過去，', '我想來想去想袂賰，', '幾隻牛食來食去嘛攏佇家己彼條牛索半徑內底。', '干樂抨眠床頂，反過來反過去，', '醫生帶手套指頭仔伸入去尻川內底摸過來摸過去了後，', '猶有不止仔濟頭幔絲仔巾信回教的查某人咧行來行去']"
125-01,| 等等 | téng-téng | 列舉時的省略詞。在台語中不宜只用單音詞「等(téng)」。 |,"['親像紅嬰仔、囡仔人、老人等等。', '伊投資公共建設，親像：起水庫、鋪鐵枝路、推捒觀光等等。', '成員包括醫師、律師、教授、議員等等無仝行業的人。', '嘛不時有通看著山羌、膨鼠、水果猫等等野獸的形影。', 'LINE、面冊、Twitter等等的軟體攏誠方便。']"
126-01,| 分數 | hun-sò͘ | 例如1/3，台語有「三份一(saⁿ hūn chi̍t)」和「三分之一(saⁿ hun chi it )」兩種說法。 |,"['Okinaw......', '核四一定做到百分之百安全，才正式運轉。', 'Okinawa的百姓死三分之一。', '四又三分之二。', '九分之三經過約分等於三分之一。', '三份一。']"
127-01,| 加減乘除 | ka kiám sêng tî | 一加二等於三、五減三等於二、三乘二等於六、八除四等於二。加、減、乘、除、等於都要變調，數字讀本調。 （ 但九九乘法表的讀法「三二六」則三讀變調，二、六讀本調） |,"['10減5等於5。', '15用3除等於5。', '七乘四是二八', '五加五是十', '十六除八是二']"
128-01,| 點 | tiám | 有小數點的數字，小數點後僅一位數時，1、2讀「一(it)、二(jī)」，3以後讀白讀音，例如3.5唸成「三點五(saⁿ tiám gō͘)」。小數點後若有2位數以上，則全部讀為文讀音，例如3.52唸成「三點五二(saⁿ tiám ngó͘ jī)」。除最後一個數字外，前面的數字和「點」都要讀變調。 |,"['七除二是三點五', '平均逐位婦人人生的囝兒干焦一點二个，', '量約零點六公里才到登山口。', '全長二點八五公里，', '這支螢幕五點七吋，']"
129-01,| 喝A就A | hoah A tō A | 所提及的狀況馬上出現，即說怎樣就怎樣。 |,"['天氣喝變就變。', '救地球，毋免揀時陣，咱喝行就行。']"
131-01,| 干焦……就…… | kan-na...tō... | 只有、僅僅……就……。 |,"['現此時干焦i......', '干焦唚一下就有大紅包，', '若毋是我的技術讚，干焦跳來跳去就跋死幾若擺，', '干焦坐咧聽課就遮忝，', '干焦想著就予人流喙瀾。', '現此時干焦icecream就有六、七十款無仝的口味；']"
132-01,| 一來……二來…… | it--lâi...jī--lâi... | 分別敘述兩種狀況。「一、二」要讀本調，「來」要讀輕聲。 |,"['一來路頭遠，二來看袂出新的理事長有啥物使命感，值得情義相伨。', '一來會當包嬰仔，二來會當拭流出來的血水。', '一來𪜶袂當參加罷工，二來𪜶違反一例一休，']"
133-01,| 以+[方位] | í+[hong-ūi] | 次序、程度、數量、位置等在某一標準之上、下、內、外或方位。「以」字前要讀本調。 |,"['我除了讀冊以外，上愛做的代誌就是彈鋼琴，', '一半以上是欲送人的，', '年歲佇國中以下的少年人，', '通常是講海拔八百公尺以內的所在，', '黃金期是七歲以前。', '一九八六年以後，', '臺中以南。']"
134-01,| [介詞]+[賓語] | [kài-sû]+[pin-gí] | 華語「跟、順、沿、趁、對、照」等介詞須加上「著」再加賓語，形成「跟著、順著」等，但台語「綴(tòe)、順(sūn)、趁(thàn)、對(tùi)、用(iōng)、照(chiàu)」等介詞，與賓語之間不能加「著(tio̍h)」。 |,"['我才開始對台語教學有興趣，', '就吩咐伊用手電仔照路，', '趁菜猶未上桌的時陣，', '出枋橋站，順縣民大道慢慢仔行，', '我照朋友教我的方法去試看覓，', '綴這九降風，真濟渡鳥嘛飛來台灣矣！']"
135-01,| 若…… | nā... | 表示假設，也可以用「若準、準若、準講、假設、假使、設使」等，即華語「如果……的話」，但台語不能用「的話(ê ōe)」，而台語可在某些表假設關係的連詞後面再加上「若」。 |,"['設使運命相替換，伊欲學列強向外發展，', '自然虯的頭毛，準若無蓋濟，看起來猶是會騙得人，', '咱若無警覺，咱的下場會佮牛仝款。', '若是無去予人請，就佇厝裡食月餅，', '若準天氣毋是遐熱，我足想欲建議你騎自輪車去。', '假使，我若活佇彼个時代，']"
135-02,| 若…… | ná... | 像。看起來。 |,"['哇！問話敢若......', '共溪水炤甲若像掖一沿金粉仝款。', '腹肚若水櫃，胸坎若樓梯。', '彼種方式，予阮感覺若親像市內的人，', '哇！問話敢若咧射機關銃咧，', '嚨喉若像㧎著啥物，礙虐礙虐。']"
136-01,| 會/袂+[動詞]+得 | ē/bē+[tōng-sû]+tit | 表示能/不能進行該動詞。 |,"['心肝內暢甲袂顧得，', '橫直袂做得工課，先食暗頓予飽，', '當然這陣就愛先過癮一下才會交代得，', '一寮豬仔，無一隻會刣得。', '無開錢袂煞得。', '彼稻仔毋是講閣一個月才會割得？']"
136-02,| 會/袂+得+[動詞] | ē/bē+tit+[tōng-sû] | 表示可以/不可以進行該動詞。 |,"['幾若十冬袂得轉來台灣的晴美姊，', '日子會得過就好，毋免遐辛苦。', '雨落傷大就袂得收山，', '公司會得綴環境的變遷，', '好朋友會得放心，', '一口氣袂得敨，結做風雲佇天頂滾絞，']"
137-01,| 總是 | chóng--sī | 表示無論如何或可是、但是的連接詞，「總」讀本調，「是」讀輕聲。另外，在句中將「總是」都讀為變調，則與華語的「總是」意思、用法相同。 |,"['本土語言較袂hông看輕，總是，應該愛有對應的教育政策才著，', '按呢講嘛怪怪呢！總是，會當省錢較要緊。', '求神拜佛，會保庇咱平安過日，總是這干焦是求一个心安爾爾；', '總是我相信，天公伯仔共我牽向母語創作這坵田園，', '有人會講有一寡監查是愛做的。總是，咱愛去想的是咱目前的法律保護有夠無，']"
137-02,| 總是 | chóng-sī | 與華語「總是」的用法相同，在句中都讀為變調。 |,"['做消費者總是感覺愈方便愈好，', '總是佯做無看咧，', '我總是掀掀咧就準拄煞。', '可怕的是染著毒癮總是予人真歹戒除', '我總是借機會小變一下，']"
138-01,| 無…… | bô... | 時間或數量不到……。 |,"['冬節過無偌久......', '食無三把蕹菜就想欲上西天', '冬節過無偌久，我共豆莢內底的子，', '咱兩千个兄弟今賰無一半，', '無幾秒鐘就昏甲毋知人。', '經過無一年就不幸過身，']"
139-01,| 甲 | kah | 既然。 |,"['甲是落雨，計畫就延期。', '甲按呢來，我無蹽落去袂煞，', '挖礦甲是特許的，就應該佇經濟發展佮生態保育中央掠平衡，', '若甲按呢代誌就歹辦矣。', '甲若按呢，就請伊退出。']"
140-01,| 做+[代名詞]+[動詞] | chò+[tùi-siōng]+[tōng-sû] | 任由某對象行事。 |,"['跳起去共阿吉𢯾咧，直直衝，做𪜶去。', '迫害誠濟人的Hitler，做你去歐洲共掩護看覓。', '徛佇擔前做伊一喙紲一喙，無咧細膩，', '老人講做伊講，少年人共老人講的話準做一陣風。', '有實力，做你共show，做你共變猴弄，']"
