編號,語法點,例句
017-01,| 這/彼 | che/he | 近/遠指指示代詞，即「這（個）、那（個）」。 |,"['啊這欲按怎治療？', '彼白菜生甲若茄茉咧，有夠大欉！', '若是干焦講佮聽，彼是絕對無夠的。', '絕對愛處理的是這。', '彼到底是佗位？', '恁臆看覓這是啥物？']"
017-02,| 這～/彼～ | chit~/hit~ | 近/遠指指示詞，接名詞、量詞或數量詞，即「這、那」。 |,"['彼幾日，阿母逐工看新聞、流目屎，', '啥物時陣會講這句話？', '高中出業彼一年，', '我會提起這項......', '這个動作有啥物意涵？', '我會提起這項代誌，毋是為著展風神，', '相爭欲食彼枝冰。']"
018-01,| 遮/遐 | chia/hia | 近指與遠指代詞，即「這裡、那裡」。 |,"['對遮，咱就會當了解台灣中國化的程度有偌爾仔深。', '去外口遐等一下！', '𪜶早就傱來佇遐等主人家的車；', '電光室佇門口斡倒爿遐，', '十九世紀，移民捌佇遮相刣甲欲死欲活。']"
018-02,| 遮/遐（爾）…… | chiah/hiah (-nī)... | 表達形容詞的程度，離自己較近或較有關者用「遮（爾）」，離自己較遠或較無關者，用「遐（爾）」」，即「這麼、那麼」。 |,"['無像過去遐時行。', '溪水遮清氣著。', '哪會遮厲害！', '差不多有三个玉山國家公園遐爾仔大喔！', '這馬的寒天無像較早遐生冷，', '差不多有三个......', '厝裡頭喙遮爾濟，']"
018-03,| 遮的/遐的 | chia-ê /hia-ê | 指一類群人事物，離自己較近或較有關者用「遮的」，離自己較遠或較無關者，用「遐的」」，即「這些、那些」。 |,"['遐的人敢有一屑仔反省的心？', '這馬我欲講的是影響比遐的較大的「聚珍堂」，', '無親手摸著遐的古早物，', '向望遮的囡仔以後大漢會閣對我這个老師有印象。', '遮的新聞事件有一个共同點，', '以上遮的，就算咱已經攏捌透透，猶原愛閣較有闊度，']"
019-01,| 佗…… | tó... | 疑問代詞，接「位」、「幾」及數量，即「哪……」。 |,"['啊月上圓的時陣是佇佗一工？', '請問，你蹛佇佗位？', '阮問伊彼兩字是佗兩字，', '看欲讀佗幾本，揀揀咧', '身騎白馬過三關，到底是佗三關？', '後擺毋知會輪著佗一隻水牛。']"
019-02,| 佗 | toh | 疑問代詞，即「哪裡」。 |,"['想到佗閣放到佗，', '精神專注佇佗？', '月初的月出現佇佗，', '網路恐嚇是對佗查！', '等咧欲去佗？']"
020-01,| 佇+所在/時間 | tī+[só͘-chāi/sî-kan] | 在某某地點/時間。 |,"['頂擺出現是佇七冬前喔！', '佇某一擺開講的時，', '伊佇一九九一年出世', '佇臺灣超過一百五十冬歷史。', '毋是，是佇火車頭的對面。']"
020-02,| 踮/蹛+所在 | tiàm/tòa+[só͘-chāi] | 在某某位置。 |,"['留蹛臺灣本地開錢上實在，', '踮門後不時圇頭探看覓，', '踮台北附近，', '我親像彼隻跍踮山腰的鶯歌鳥', '你就蹛市場四界踅、四界傱，']"
021-01,| 時間講法 | sî-kan kóng-hoat | 1:30→點半tiám-pòaⁿ 5:30→五點半gō͘ tiám pòaⁿ 3:40→三點四十（分）saⁿ tiám sí-cha̍p (hun) 整點與半點加上「鐘」表示時間長度，一小時三十分讀為「點半鐘tiám pòaⁿ cheng」，一分半讀為「分半hun pòaⁿ」，兩個小時讀為「兩點鐘nn̄g tiám-cheng」 |,"['佮高中同學開會到下晡四點半煞，', '頭尾舞差不多點半鐘才共窒路的柴箍徙甲離離離，', '本底按算一點鐘就會當錄好。', '對八點半等到九點，主角攏無形影，', '下晡兩點到𪜶兜']"
